Year,Best Picture,Best Actor,Best Actress
1927,"Wings(Sunrisewon for bestuniqueand artistic picture, but that category was eliminated the following year, andWingswas retrospectively named the official winner of the first Academy Award for best picture.)",N/A,N/A
1929,The Broadway Melody,Emil Jannings(The Way of All Flesh[1927] andThe Last Command[1928]),"Janet Gaynor (7th Heaven[1927],Street Angel[1928],Sunrise[1927])"
1930,All Quiet on the Western Front,Warner Baxter (In Old Arizona[1928]),Mary Pickford(Coquette[1929])
1931,Cimarron,George Arliss(Disraeli[1929]),Norma Shearer(The Divorcee[1930])
1932,Grand Hotel,Lionel Barrymore(A Free Soul[1931]),Marie Dressler(Min and Bill[1930])
1933,Cavalcade,Fredric March(Dr. Jekyll and Mr. Hyde[1931]) andWallace Beery(The Champ[1931]),Helen Hayes(The Sin of Madelon Claudet[1931])
1934,It Happened One Night,Charles Laughton(The Private Life of Henry VIII),Katharine Hepburn(Morning Glory)
1935,Mutiny on the Bounty,Clark Gable(It Happened One Night),Claudette Colbert(It Happened One Night)
1936,The Great Ziegfeld,Victor McLaglen (The Informer),Bette Davis(Dangerous)
1937,The Life of Emile Zola,Paul Muni(The Story of Louis Pasteur),Luise Rainer(The Great Ziegfeld)
1938,You Can’t Take It with You,Spencer Tracy(Captains Courageous),Luise Rainer(The Good Earth)
1939,Gone with the Wind,Spencer Tracy(Boys Town),Bette Davis(Jezebel)
1940,Rebecca,"Robert Donat (Goodbye, Mr. Chips)",Vivien Leigh(Gone with the Wind)
1941,How Green Was My Valley,James Stewart(The Philadelphia Story),Ginger Rogers(Kitty Foyle)
1942,Mrs. Miniver,Gary Cooper(Sergeant York),Joan Fontaine(Suspicion)
1943,Casablanca,James Cagney(Yankee Doodle Dandy),Greer Garson(Mrs. Miniver)
1944,Going My Way,Paul Lukas (Watch on the Rhine),Jennifer Jones(The Song of Bernadette)
1945,The Lost Weekend,Bing Crosby(Going My Way),Ingrid Bergman(Gaslight)
1946,The Best Years of Our Lives,Ray Milland(The Lost Weekend),Joan Crawford(Mildred Pierce)
1947,Gentleman’s Agreement,Fredric March(The Best Years of Our Lives),Olivia de Havilland(To Each His Own)
1948,Hamlet,Ronald Colman(A Double Life),Loretta Young(The Farmer’s Daughter)
1949,All the King’s Men,Laurence Olivier(Hamlet),Jane Wyman(Johnny Belinda)
1950,All About Eve,Broderick Crawford (All the King’s Men),Olivia de Havilland(The Heiress)
1951,An American in Paris,José Ferrer(Cyrano de Bergerac),Judy Holliday(Born Yesterday)
1952,The Greatest Show on Earth,Humphrey Bogart(The African Queen),Vivien Leigh(A Streetcar Named Desire)
1953,From Here to Eternity,Gary Cooper(High Noon),"Shirley Booth(Come Back, Little Sheba)"
1954,On the Waterfront,William Holden(Stalag 17),Audrey Hepburn(Roman Holiday)
1955,Marty,Marlon Brando(On the Waterfront),Grace Kelly(The Country Girl)
1956,Around the World in 80 Days,Ernest Borgnine(Marty),Anna Magnani(The Rose Tattoo)
1957,The Bridge on the River Kwai,Yul Brynner(The King and I),Ingrid Bergman(Anastasia)
1958,Gigi,Alec Guinness(The Bridge on the River Kwai),Joanne Woodward(The Three Faces of Eve)
1959,Ben-Hur,David Niven(Separate Tables),Susan Hayward(I Want to Live!)
1960,The Apartment,Charlton Heston(Ben-Hur),Simone Signoret(Room at the Top)
1961,West Side Story,Burt Lancaster(Elmer Gantry),Elizabeth Taylor(Butterfield 8)
1962,Lawrence of Arabia,Maximilian Schell(Judgment at Nuremberg),Sophia Loren(Two Women)
1963,Tom Jones,Gregory Peck(To Kill a Mockingbird),Anne Bancroft(The Miracle Worker)
1964,My Fair Lady,Sidney Poitier(Lilies of the Field),Patricia Neal(Hud)
1965,The Sound of Music,Rex Harrison(My Fair Lady),Julie Andrews(Mary Poppins)
1966,A Man for All Seasons,Lee Marvin(Cat Ballou),Julie Christie(Darling)
1967,In the Heat of the Night,Paul Scofield(A Man for All Seasons),Elizabeth Taylor(Who’s Afraid of Virginia Woolf?)
1968,Oliver!,Rod Steiger(In the Heat of the Night),Katharine Hepburn(Guess Who’s Coming to Dinner)
1969,Midnight Cowboy,Cliff Robertson (Charly),Katharine Hepburn(The Lion in Winter) andBarbra Streisand(Funny Girl)
1970,Patton,John Wayne(True Grit),Maggie Smith(The Prime of Miss Jean Brodie)
1971,The French Connection,George C. Scott(Patton),Glenda Jackson(Women in Love)
1972,The Godfather,Gene Hackman(The French Connection),Jane Fonda(Klute)
1973,The Sting,Marlon Brando(The Godfather),Liza Minnelli(Cabaret)
1974,The Godfather Part II,Jack Lemmon(Save the Tiger),Glenda Jackson(A Touch of Class)
1975,One Flew over the Cuckoo’s Nest,Art Carney(Harry and Tonto),Ellen Burstyn(Alice Doesn’t Live Here Anymore)
1976,Rocky,Jack Nicholson(One Flew over the Cuckoo’s Nest),Louise Fletcher(One Flew over the Cuckoo’s Nest)
1977,Annie Hall,Peter Finch(Network),Faye Dunaway(Network)
1978,The Deer Hunter,Richard Dreyfuss(The Goodbye Girl),Diane Keaton(Annie Hall)
1979,Kramer vs. Kramer,Jon Voight(Coming Home),Jane Fonda(Coming Home)
1980,Ordinary People,Dustin Hoffman(Kramer vs. Kramer),Sally Field(Norma Rae)
1981,Chariots of Fire,Robert De Niro(Raging Bull),Sissy Spacek(Coal Miner’s Daughter)
1982,Gandhi,Henry Fonda(On Golden Pond),Katharine Hepburn(On Golden Pond)
1983,Terms of Endearment,Ben Kingsley(Gandhi),Meryl Streep(Sophie’s Choice)
1984,Amadeus,Robert Duvall(Tender Mercies),Shirley MacLaine(Terms of Endearment)
1985,Out of Africa,F. Murray Abraham(Amadeus),Sally Field(Places in the Heart)
1986,Platoon,William Hurt(Kiss of the Spider Woman),Geraldine Page(The Trip to Bountiful)
1987,The Last Emperor,Paul Newman(The Color of Money),Marlee Matlin(Children of a Lesser God)
1988,Rain Man,Michael Douglas(Wall Street),Cher(Moonstruck)
1989,Driving Miss Daisy,Dustin Hoffman(Rain Man),Jodie Foster(The Accused)
1990,Dances with Wolves,Daniel Day-Lewis(My Left Foot),Jessica Tandy(Driving Miss Daisy)
1991,The Silence of the Lambs,Jeremy Irons(Reversal of Fortune),Kathy Bates(Misery)
1992,Unforgiven,Anthony Hopkins(The Silence of the Lambs),Jodie Foster(The Silence of the Lambs)
1993,Schindler’s List,Al Pacino(Scent of a Woman),Emma Thompson(Howards End)
1994,Forrest Gump,Tom Hanks(Philadelphia),Holly Hunter(The Piano)
1995,Braveheart,Tom Hanks(Forrest Gump),Jessica Lange(Blue Sky)
1996,The English Patient,Nicolas Cage(Leaving Las Vegas),Susan Sarandon(Dead Man Walking)
1997,Titanic,Geoffrey Rush(Shine),Francis McDormand(Fargo)
1998,Shakespeare in Love,Jack Nicholson(As Good as It Gets),Helen Hunt(As Good as It Gets)
1999,American Beauty,Roberto Benigni(Life Is Beautiful),Gwyneth Paltrow(Shakespeare in Love)
2000,Gladiator,Kevin Spacey(American Beauty),Hilary Swank(Boys Don’t Cry)
2001,A Beautiful Mind,Russell Crowe(Gladiator),Julia Roberts(Erin Brockovich)
2002,Chicago,Denzel Washington(Training Day),Halle Berry(Monster’s Ball)
2003,The Lord of the Rings: The Return of the King,Adrien Brody(The Pianist),Nicole Kidman(The Hours)
2004,Million Dollar Baby,Sean Penn(Mystic River),Charlize Theron(Monster)
2005,Crash,Jamie Foxx(Ray),Hilary Swank(Million Dollar Baby)
2006,The Departed,Philip Seymour Hoffman(Capote),Reese Witherspoon(Walk the Line)
2007,No Country for Old Men,Forest Whitaker(The Last King of Scotland),Helen Mirren(The Queen)
2008,Slumdog Millionaire,Daniel Day-Lewis(There Will Be Blood),Marion Cotillard(La Vie en Rose)
2009,The Hurt Locker,Sean Penn(Milk),Kate Winslet(The Reader)
2010,The King’s Speech,Jeff Bridges(Crazy Heart),Sandra Bullock(The Blind Side)
2011,The Artist,Colin Firth(The King’s Speech),Natalie Portman(Black Swan)
2012,Argo,Jean Dujardin (The Artist),Meryl Streep(The Iron Lady)
2013,12 Years a Slave,Daniel Day-Lewis(Lincoln),Jennifer Lawrence(Silver Linings Playbook)
2014,Birdman or (The Unexpected Virtue of Ignorance),Matthew McConaughey(Dallas Buyers Club),Cate Blanchett(Blue Jasmine)
2015,Spotlight,Eddie Redmayne(The Theory of Everything),Julianne Moore(Still Alice)
2016,Moonlight,Leonardo DiCaprio(The Revenant),Brie Larson(Room)
2017,The Shape of Water,Casey Affleck(Manchester by the Sea),Emma Stone(La La Land)
2018,Green Book,Gary Oldman(Darkest Hour),"Frances McDormand(Three Billboards Outside Ebbing, Missouri)"
2019,Parasite,Rami Malek(Bohemian Rhapsody),Olivia Colman(The Favourite)
2020,Nomadland,Joaquin Phoenix(Joker),Renée Zellweger(Judy)
2021,CODA,Anthony Hopkins(The Father),Frances McDormand(Nomadland)
2022,Everything Everywhere All at Once,Will Smith(King Richard),Jessica Chastain(The Eyes of Tammy Faye)
2023,Oppenheimer,Brendan Fraser(The Whale),Michelle Yeoh(Everything Everywhere All at Once)
2024,Anora,Cillian Murphy(Oppenheimer),Emma Stone(Poor Things)
2025,N/A,Adrien Brody(The Brutalist),Mikey Madison (Anora)
N/A,N/A,(Allsubsequentfilms were released the previous year.),(Allsubsequentmovies were released the previous year.)
